Property URL,Property ID,Price,Bedrooms,Bathrooms,Property Type,Property Status,Guest Number,Address,City,State/County,Zip/Postal Code,Area,Country
https://www.bukitvista.com/property/retreat-to-nature-jungle-house-villa-near-canggu,PR0774,Start from $144 USD per night,2,2,"Jungle View, Residential, Villa","Bali Vacation Rental, Instagramable Stay, Long Stay Trend Property, Recently Picked, Top Trending",4,"Tabanan, Bali",Bali,Bali,82121,Canggu,Indonesia
https://www.bukitvista.com/property/luxurious-private-villa-with-pool-in-idyllic-pecatu-retreat,N/A,"Start from $2,346 USD per Month",2,2,Villa,Long Stay Trend Property,4,"Gg. Meregan &, Jl. Toya Ning II, Ungasan, South Kuta, Badung Regency, Bali",Bali,Bali,80361,Ungasan,Indonesia
https://www.bukitvista.com/property/peaceful-villa-surrounded-by-rice-fields-in-canggu,PR0776,"Start from $2,200 USD per Month",2,2,"Rice paddy view, Villa","Bali Vacation Rental, Long Stay Trend Property, Private Pool",4,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali",Bali,Bali,80351,Canggu,Indonesia
https://www.bukitvista.com/property/villa-in-tumbuk-bayuh-forecast,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/secluded-2br-villa-w-pool-complex-in-nusa-dua,PR0715,"Start from $2,160 USD per Month",2,2,View,Long Stay Trend Property,4,"Nusa Dua, Kuta Selatan, Badung, Bali",Bali,Bali,80361,Nusa Dua,N/A
https://www.bukitvista.com/property/modern-breezy-homey-2br-villa-with-pool-near-gwk,PR0695,"Start from $2,400 USD per Month",2,2.5,Villa,Long Stay Trend Property,4,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,80361,Ungasan,N/A
https://www.bukitvista.com/property/dainty-villa-w-restful-pool-for-group-at-ungasan,PR0678,"Start from $2,050 USD per Month",3,3,Villa,Long Stay Trend Property,6,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,80361,Ungasan,N/A
https://www.bukitvista.com/property/spacious-new-tropical-villa-w-gwk-view,PR0719,"Start from $3,200 USD per Month",3,3,"View, Villa",Top Trending,6,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,80361,badung,N/A
https://www.bukitvista.com/property/da-kelor,N/A,Start from $151 USD for 15 year lease,2,2,"Guest House, Residential, Rice paddy view","Bali Vacation Rental, Long Stay Trend Property",N/A,"Jl. Raya Gelogor, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Bali,80571,Ubud,N/A
https://www.bukitvista.com/property/tasteful-villa-w-nice-view-of-rice-field-in-jogja,PR0720,Mulai dari Rp1.201.000 Rupiah per Malam,3,3,"Rice paddy view, Villa",Yogyakarta Vacation Rental,6,"Dobalan, Timbulharjo, Sewon, Bantul",Yogyakarta,Yogyakarta,55185,Yogyakarta,N/A
https://www.bukitvista.com/property/town-house-in-a-quiet-residence-near-ambarrukmo,PR0051,Mulai dari Rp1.020.000 Rupiah per Malam,3,2,Villa,Yogyakarta Vacation Rental,6,"Perum Jogja Town House 3, Kab. Bantul, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55198,Yogyakarta,N/A
https://www.bukitvista.com/property/clean-room-in-jogja-local-authentic-holiday-house,PR0294,Mulai dari Rp410.500 USD per Malam,N/A,N/A,Guest House,Yogyakarta Vacation Rental,2,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55122,Yogyakarta,N/A
https://www.bukitvista.com/property/spacious-5br-vacation-villa-for-big-group-in-jogja,PR0708,Mulai dari Rp2.160.000 Rupiah per Malam,5,4,Villa,Yogyakarta Vacation Rental,14,"Juwangen, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55571,Yogyakarta,N/A
https://www.bukitvista.com/property/spacious-guest-house-for-group-vacations-jogja,PR0293,Mulai dari Rp3.315.000 Rupiah per Malam,6,5,Guest House,Yogyakarta Vacation Rental,15,"Panembahan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55131,Yogyakarta,N/A
https://www.bukitvista.com/property/3br-javanese-traditional-relaxing-villa-with-pool,PR0704,Mulai dari Rp1.930.000 Rupiah per Malam,3,2.5,Villa,"Private Pool, Yogyakarta Vacation Rental",9,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55284,Yogyakarta,N/A
https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool-2,PR0697,Mulai dari Rp1.750.000 Rupiah per Malam,4,3,Villa,"Private Pool, Yogyakarta Vacation Rental",8,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55122,N/A,N/A
https://www.bukitvista.com/property/jogja-historical-home-in-keraton-heritage-area,PR0755,Mulai dari Rp1.735.000 Rupiah per Malam,3,2,Villa,Yogyakarta Vacation Rental,9,"Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55131,Yogyakarta,N/A
https://www.bukitvista.com/property/jogja-strategic-getaway-house-for-group-family,PR0755,Mulai dari Rp1.445.000 Rupiah per Malam,3,2,Villa,Yogyakarta Vacation Rental,7,"Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55191,Yogyakarta,N/A
https://www.bukitvista.com/property/casa-silvino,N/A,"Start from 16,335 USD per year",2,2,"Residential, Villa","Bali Vacation Rental, Long Stay Trend Property",N/A,"5592+H8W Ungasan, Badung Regency, Bali",Bali,Bali,N/A,Ungasan,Indonesia
https://www.bukitvista.com/property/prestigious-apartment-w-mt-merapi-view,PR0731,Mulai dari Rp810.000 Rupiah per Malam,N/A,N/A,N/A,Yogyakarta Vacation Rental,2,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55281,Yogyakarta,N/A
https://www.bukitvista.com/property/breathtaking-ocean-view-cabin-w-wi-fi-breakfast,PR0419,Start from $13 per night,N/A,N/A,"Guest House, Residential","Good Deal, Nusa Penida Vacation Rental",N/A,"Banjar Kutapang, Desa Batununggul, Nusapenida, Kabupaten Klungkung, Bali",Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia
https://www.bukitvista.com/property/stylish-rustic-cabin-in-penida-near-seaside-cafe,PR0603,Start from $24 per night,N/A,N/A,"Guest House, Residential","Nusa Penida Vacation Rental, Private Pool",N/A,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali",Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia
https://www.bukitvista.com/property/balibiza-forecast,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.bukitvista.com/property/beachfront-bungalow-w-sunset-view,PR0427,Start from USD $41 per night,N/A,N/A,"Beachfront, Guest House, Residential",N/A,N/A,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/restful-villa-in-jogja-city-10-mins-from-tugu,PR0766,Mulai dari Rp2.740.000 Rupiah per Malam,6,2,Villa,"Private Pool, Yogyakarta Vacation Rental",10,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55222,Yogyakarta,N/A
https://www.bukitvista.com/property/soothing-sound-of-the-waves-in-a-beachfront-cabin,PR0630,Start from $23 per night,N/A,N/A,"Beachfront, Guest House, Residential","Good Deal, Nusa Penida Vacation Rental",N/A,"Jalan Raya Ped Banjar Bodong Desa Ped Nusa Penida, Ped, Nusa Penida, Ped, Nusapenida, Kabupaten Klungkung, Bali",Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia
https://www.bukitvista.com/property/vr-rare-luxurious-artistic-home-w-private-pool,PR0370,Mulai dari Rp3.270.000 Rupiah per Malam,4,3,Villa,"Private Pool, Yogyakarta Vacation Rental",12,"Sinduharjo, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55581,Yogyakarta,N/A
https://www.bukitvista.com/property/penida-cabin-for-diving-snorkeling-enthusiasts,PR0366,Start from $18 per night,N/A,N/A,"Guest House, Residential","Good Deal, Nusa Penida Vacation Rental",N/A,"Batununggul, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/once-in-a-lifetime-hilltop-bungalow-experience,PR0371,Start from $19 USD per night,N/A,N/A,"Guest House, Residential","Good Deal, Nusa Penida Vacation Rental",N/A,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/3-deluxe-room-in-nusa-penida-right-on-the-beach,PR0447,Start from $49 USD per night,3,3,"Guest House, Residential",Nusa Penida Vacation Rental,N/A,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/magical-balinese-cabin-in-nusa-penida-w-sea-view,PR0383,Start from $30 USD per night,2,2,"Guest House, Residential",Nusa Penida Vacation Rental,N/A,"Batununggul, Nusapenida, Klungkung Regency, Bali 80771",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/serene-wooden-cabin-near-banjar-nyuh-harbour,PR0345,Start from $19 USD per night,N/A,N/A,Guest House,"Good Deal, Nusa Penida Vacation Rental",N/A,"Jl. Raya Toya Pakeh - Ped, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,N/A,Nusa Penida,Indonesia
https://www.bukitvista.com/property/vr-tranquil-homestay-with-serene-garden-in-west-jogja,PR0340,Mulai dari Rp490.000 Rupiah per Malam,N/A,N/A,Guest House,Yogyakarta Vacation Rental,2,"Tamantirto, Kasihan, Bantul, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55184,Yogyakarta,N/A
https://www.bukitvista.com/property/vr-spacious-artists-house-creative,PR0758,Mulai dari Rp1.231.000 Rupiah per Malam,3,2,Homestay,Yogyakarta Vacation Rental,6,"Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55581,Yogyakarta,N/A
https://www.bukitvista.com/property/vr-javanese-home-near-pakualaman-jogja,PR0707,Mulai dari R2.175.000 Rupiah per Malam,4,2,Guest House,Yogyakarta Vacation Rental,8,"Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55166,Yogyakarta,N/A
https://www.bukitvista.com/property/vr-vintage-jogja-villa-waterfall-view,PR0387,Mulai dari Rp1.231.000 Rupiah per Malam,2,2,"View, Villa",Yogyakarta Vacation Rental,10,"Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,55281,Yogyakarta,Indonesia
https://www.bukitvista.com/property/mesmerizing-2br-kokomo-villa-in-umalas-with-pool,PR0759,"Start from $4,750 USD per Month",2,2,"Ocean view, Rice paddy view","Long Stay Trend Property, Top Trending",4,"Jl. Bumbak Umalas, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali",Bali,Bali,80361,Canggu,Indonesia
https://www.bukitvista.com/property/minimalist-room-with-superb-ocean-view-at-bingin,PR0120,"Start from $1,060 USD per Month",N/A,N/A,"Beachfront, Guest House",N/A,2,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Bingin,Indonesia
https://www.bukitvista.com/property/sunny-cabin-with-green-lawn-for-big-group-7br,PR0057,Start from $920 USD per Month,N/A,N/A,Guest House,"Group Friendly Stay, Long Stay Trend Property",2,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Bingin,Indonesia
https://www.bukitvista.com/property/best-choice-cabin-in-canggu-with-superb-wi-fi,PR0126,Start from $790 USD per Month,N/A,N/A,Guest House,Long Stay Trend Property,2,"Jl. Raya Pantai Berawa, Tibubeneng, Kuta Utara, Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Canggu,N/A
https://www.bukitvista.com/property/summer-vibe-stay-in-bingin-with-pool-fast-wifi,PR0694,"Start from $1,090 USD per Month",N/A,N/A,Guest House,"Good Deal, Long Stay Trend Property",2,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Bingin,Indonesia
https://www.bukitvista.com/property/canggu-cute-sparkling-guesthouse-for-big-group,UN2357,Start from $790 USD per Month,N/A,N/A,Guest House,"Good Deal, Group Friendly Stay, Long Stay Trend Property",2,"Jl. Tanah Barak, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Bali,Bali,80351,N/A,Indonesia
https://www.bukitvista.com/property/laid-back-uluwatu-bungalow-w-pool-fast-wifi,PR0475,Start from $790 USD per Month,N/A,N/A,Guest House,Long Stay Trend Property,2,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bali,80361,Uluwatu,Indonesia
https://www.bukitvista.com/property/rental-villa-ubud-summer-house-on-the-edge-of-wilderness,N/A,"Start from $1,980 USD per Month",3,3,"Jungle View, Villa","Group Friendly Stay, Instagramable Stay, Long Stay Trend Property",6,"Jl. Gn. Sari, Kecamatan Ubud, Kabupaten Gianyar, Bali, Indonesia",Bali,Bali,N/A,Ubud,Indonesia
https://www.bukitvista.com/property/soothing-ubud-villa-w-wide-appeasing-garden,PR0373,"Start from $4,940 USD per Month",4,4,"Rice paddy view, Villa","Group Friendly Stay, Instagramable Stay, Long Stay Trend Property",8,"Jl. Sri Wedari, Ubud, Kabupaten Gianyar, Bali, Indonesia",Bali,Bali,80571,Ubud,Indonesia
https://www.bukitvista.com/property/bohemian-beachfront-surf-villa-by-bingin-beach,PR0088,"Start from $5,590 USD per Month",4,3,"Beachfront, Residential, Villa","Group Friendly Stay, Long Stay Trend Property",8,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bali,N/A,Bingin,Indonesia
